"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
-22.594,-0.013515,-0.018482,-0.017338,1,7.1171,18.139,4.3453,10.224
-22.593,-0.013559,-0.018243,-0.017109,1,7.1553,18.122,4.3261,10.196
-22.592,-0.013607,-0.01802,-0.016908,1,7.1935,18.105,4.307,10.167
-22.591,-0.013672,-0.017826,-0.016712,1,7.2324,18.087,4.2876,10.139
-22.59,-0.013749,-0.01766,-0.016537,1,7.2709,18.07,4.2686,10.11
-22.589,-0.013836,-0.017517,-0.016388,1,7.3095,18.053,4.2496,10.081
-22.588,-0.013944,-0.01741,-0.016248,1,7.3487,18.034,4.2305,10.052
-22.587,-0.014062,-0.017327,-0.016145,1,7.3873,18.017,4.2117,10.024
-22.586,-0.014201,-0.017277,-0.016057,1,7.4262,17.999,4.1929,9.9946
-22.585,-0.014355,-0.017259,-0.015996,1,7.4644,17.981,4.1746,9.9662
-22.584,-0.014527,-0.017264,-0.015965,1,7.5028,17.963,4.156,9.9376
-22.583,-0.014719,-0.017304,-0.015957,1,7.5415,17.945,4.1374,9.9089
-22.582,-0.014932,-0.017372,-0.015977,1,7.5798,17.927,4.1189,9.8805
-22.582,-0.015164,-0.017467,-0.016025,1,7.6182,17.91,4.1004,9.8519
-22.581,-0.015415,-0.01759,-0.016104,1,7.6568,17.892,4.0819,9.8233
-22.579,-0.015695,-0.017743,-0.016204,1,7.6953,17.874,4.0634,9.7946
-22.578,-0.01599,-0.01792,-0.016342,1,7.7342,17.855,4.0447,9.7659
-22.577,-0.016313,-0.018129,-0.016502,1,7.7731,17.837,4.026,9.7371
-22.576,-0.01665,-0.018352,-0.016692,1,7.8115,17.819,4.0075,9.7088
-22.575,-0.017005,-0.018601,-0.016911,1,7.85,17.8,3.989,9.6804
-22.574,-0.017386,-0.018875,-0.017152,1,7.8886,17.782,3.9705,9.6521
-22.573,-0.017776,-0.019159,-0.017426,1,7.9268,17.763,3.9521,9.6242
-22.572,-0.018192,-0.01947,-0.017718,1,7.9651,17.745,3.9336,9.5962
-22.571,-0.018629,-0.019796,-0.018043,1,8.0041,17.726,3.9148,9.5679
-22.57,-0.019075,-0.020136,-0.018389,1,8.0425,17.707,3.8962,9.5401
-22.569,-0.019547,-0.020496,-0.018763,1,8.0816,17.688,3.8771,9.512
-22.568,-0.020024,-0.020858,-0.019155,1,8.1202,17.668,3.8583,9.4845
-22.567,-0.020511,-0.021232,-0.019566,1,8.1585,17.649,3.8394,9.4572
-22.566,-0.021003,-0.021608,-0.019989,1,8.1964,17.63,3.8209,9.4304
-22.565,-0.021506,-0.021992,-0.020431,1,8.2343,17.61,3.8021,9.4037
-22.564,-0.022023,-0.022383,-0.020897,1,8.2727,17.591,3.7829,9.377
-22.563,-0.02255,-0.02278,-0.021376,1,8.3112,17.571,3.7635,9.3503
-22.562,-0.023075,-0.023173,-0.021866,1,8.3492,17.551,3.7442,9.3241
-22.561,-0.023608,-0.023569,-0.022366,1,8.3873,17.531,3.7248,9.2981
-22.56,-0.024132,-0.023956,-0.022872,1,8.4247,17.511,3.7055,9.2727
-22.559,-0.024664,-0.024349,-0.023391,1,8.4624,17.492,3.686,9.2474
-22.558,-0.025197,-0.024737,-0.02392,1,8.5003,17.471,3.6662,9.2221
-22.557,-0.025732,-0.025125,-0.024459,1,8.5381,17.451,3.6462,9.1972
-22.556,-0.026265,-0.025505,-0.025,1,8.576,17.431,3.626,9.1724
-22.555,-0.026808,-0.025893,-0.025563,1,8.6145,17.41,3.6052,9.1473
-22.554,-0.027347,-0.026274,-0.026127,1,8.6531,17.39,3.5843,9.1224
-22.553,-0.027879,-0.02665,-0.026695,1,8.6914,17.369,3.5634,9.0979
-22.552,-0.028412,-0.027022,-0.02727,1,8.73,17.348,3.5423,9.0734
-22.551,-0.028939,-0.027393,-0.02785,1,8.7687,17.327,3.5209,9.0491
-22.55,-0.029459,-0.027753,-0.028428,1,8.807,17.305,3.4997,9.0252
-22.549,-0.029976,-0.028114,-0.029012,1,8.8455,17.284,3.4782,9.0015
-22.548,-0.030487,-0.028464,-0.029599,1,8.884,17.263,3.4565,8.978
-22.547,-0.030989,-0.028811,-0.030186,1,8.922,17.241,3.4349,8.955
-22.546,-0.031488,-0.029151,-0.030777,1,8.9606,17.22,3.413,8.9318
-22.545,-0.031991,-0.029496,-0.03138,1,8.9993,17.198,3.3909,8.9087
-22.544,-0.032476,-0.029824,-0.031973,1,9.0376,17.176,3.369,8.8861
