TimeStep,"Vel","Points:0","Points:1","Points:2"
0,0.45403,14.85,1.7206,5.9258
0,0.46122,14.823,1.7156,5.9008
0,0.46814,14.796,1.7104,5.8759
0,0.47483,14.77,1.7054,5.8517
0,0.48112,14.743,1.7004,5.8277
0,0.48701,14.715,1.6955,5.8042
0,0.49228,14.688,1.6906,5.781
0,0.49691,14.66,1.6855,5.7578
0,0.50077,14.633,1.6805,5.7346
0,0.50356,14.604,1.6754,5.7118
0,0.50558,14.576,1.6704,5.6893
0,0.50606,14.547,1.6655,5.667
0,0.5055,14.518,1.6605,5.645
0,0.50325,14.489,1.6557,5.6237
0,0.49962,14.46,1.6511,5.6026
0,0.49445,14.43,1.6464,5.5819
0,0.4874,14.4,1.6419,5.5615
0,0.47893,14.369,1.6374,5.5415
0,0.46848,14.338,1.633,5.5219
0,0.45652,14.307,1.6288,5.5024
0,0.44319,14.275,1.6246,5.4832
0,0.42826,14.242,1.6205,5.4643
0,0.41206,14.209,1.6167,5.4458
0,0.39479,14.175,1.6129,5.4276
0,0.37652,14.141,1.6092,5.4095
0,0.35791,14.107,1.6057,5.3924
0,0.33885,14.073,1.6023,5.3754
0,0.31995,14.038,1.5992,5.3593
0,0.30099,14.003,1.5962,5.3433
0,0.28186,13.967,1.5935,5.3274
0,0.26335,13.932,1.5909,5.3123
0,0.24525,13.895,1.5886,5.2972
0,0.22789,13.858,1.5865,5.2827
0,0.21124,13.821,1.5845,5.2686
0,0.19545,13.784,1.5829,5.2548
0,0.18069,13.746,1.5815,5.2416
0,0.16671,13.708,1.5803,5.2289
0,0.1536,13.67,1.5793,5.2164
0,0.14157,13.631,1.5785,5.2045
0,0.13053,13.592,1.5778,5.1928
0,0.12031,13.553,1.5773,5.1813
0,0.11094,13.515,1.577,5.1703
0,0.10234,13.475,1.5768,5.1596
0,0.094672,13.436,1.5767,5.1491
0,0.087691,13.397,1.5768,5.1388
0,0.081328,13.358,1.5772,5.1291
0,0.075497,13.318,1.5778,5.1195
0,0.070185,13.278,1.5787,5.1101
0,0.065469,13.238,1.5799,5.101
0,0.061187,13.198,1.5813,5.0924
0,0.057215,13.157,1.5833,5.0841
0,0.053614,13.117,1.5855,5.0759
0,0.050292,13.075,1.5881,5.0677
0,0.047375,13.034,1.5909,5.0597
0,0.044682,12.992,1.5941,5.0519
0,0.042254,12.95,1.5976,5.0443
0,0.040014,12.908,1.6014,5.0368
0,0.037981,12.866,1.6056,5.0299
0,0.036124,12.823,1.6101,5.0231
0,0.034548,12.782,1.6148,5.0166
0,0.033163,12.74,1.6199,5.0102
0,0.031965,12.698,1.6252,5.0044
0,0.031042,12.657,1.6309,4.9987
0,0.030392,12.616,1.6369,4.993
0,0.030066,12.574,1.6434,4.9878
0,0.030408,12.533,1.6502,4.9828
0,0.031607,12.491,1.6574,4.978
0,0.033962,12.45,1.665,4.9734
0,0.037793,12.409,1.6729,4.9691
0,0.043119,12.368,1.6812,4.9651
0,0.050254,12.327,1.6897,4.9611
0,0.059425,12.286,1.6987,4.9575
0,0.070313,12.245,1.7079,4.954
0,0.082804,12.205,1.7172,4.9506
0,0.096748,12.165,1.7268,4.9472
0,0.11169,12.125,1.7366,4.9442
0,0.12767,12.085,1.7466,4.9412
0,0.14387,12.045,1.7569,4.9386
0,0.16025,12.006,1.7674,4.9359
0,0.17631,11.967,1.7782,4.9335
0,0.1915,11.928,1.7893,4.9313
0,0.20578,11.889,1.8005,4.9292
0,0.21945,11.851,1.8119,4.9272
0,0.23248,11.812,1.8236,4.9252
0,0.24423,11.773,1.8353,4.9233
0,0.25468,11.736,1.8472,4.9216
0,0.26468,11.698,1.8593,4.9198
0,0.27425,11.66,1.8715,4.9179
0,0.283,11.622,1.8836,4.9159
0,0.29108,11.584,1.8958,4.9138
0,0.29874,11.547,1.9081,4.9117
0,0.30631,11.509,1.9205,4.9094
0,0.31333,11.472,1.9328,4.9069
0,0.3197,11.435,1.9451,4.9044
0,0.32596,11.398,1.9575,4.9019
0,0.33213,11.361,1.9698,4.8992
0,0.33779,11.325,1.9821,4.8967
0,0.34304,11.289,1.9944,4.8941
0,0.34828,11.253,2.0067,4.8914
0,0.35364,11.217,2.019,4.8884
0,0.35872,11.181,2.0312,4.8854
0,0.36365,11.145,2.0435,4.8823
0,0.36864,11.109,2.0557,4.8792
0,0.37378,11.073,2.068,4.8758
0,0.37878,11.037,2.0803,4.8725
0,0.38372,11.001,2.0926,4.869
0,0.3888,10.965,2.1048,4.8655
0,0.394,10.93,2.1168,4.8619
0,0.39928,10.895,2.1289,4.8585
0,0.40454,10.859,2.141,4.8551
0,0.40996,10.824,2.1531,4.8517
0,0.4156,10.789,2.1651,4.8481
0,0.42135,10.755,2.1771,4.8448
0,0.42709,10.72,2.1892,4.8414
0,0.433,10.685,2.2013,4.838
0,0.43898,10.65,2.2134,4.8346
0,0.44509,10.615,2.2256,4.8311
0,0.45115,10.579,2.2378,4.8275
0,0.45705,10.545,2.2498,4.8238
0,0.4628,10.509,2.2619,4.8202
0,0.46832,10.475,2.274,4.8165
0,0.47347,10.439,2.286,4.8127
0,0.47819,10.404,2.298,4.8089
0,0.4823,10.369,2.3099,4.8051
0,0.48556,10.334,2.3218,4.8013
0,0.48801,10.299,2.3337,4.7975
0,0.48956,10.264,2.3456,4.7937
0,0.48995,10.229,2.3576,4.7897
0,0.4887,10.193,2.3695,4.7856
0,0.48622,10.157,2.3814,4.7816
0,0.48241,10.121,2.3932,4.7775
0,0.47659,10.085,2.4051,4.7733
0,0.46905,10.05,2.4169,4.7692
0,0.46001,10.014,2.4286,4.7652
0,0.44941,9.9771,2.4404,4.7609
0,0.43677,9.9407,2.452,4.7566
0,0.42265,9.9041,2.4635,4.7521
0,0.40736,9.8678,2.4749,4.7476
0,0.39099,9.8315,2.4863,4.7431
0,0.37336,9.7948,2.4977,4.7386
0,0.35498,9.7581,2.509,4.7341
0,0.33601,9.7214,2.5204,4.7296
0,0.31666,9.6846,2.5317,4.7251
0,0.29687,9.6469,2.5433,4.7206
0,0.277,9.6092,2.5551,4.7161
0,0.25718,9.5712,2.567,4.7118
0,0.23759,9.5328,2.579,4.7075
0,0.21863,9.4942,2.5912,4.7034
0,0.20003,9.4551,2.6036,4.6993
0,0.18206,9.4159,2.616,4.6954
0,0.1648,9.3763,2.6286,4.6916
0,0.149,9.3372,2.641,4.6878
0,0.13397,9.298,2.6536,4.6842
0,0.11984,9.259,2.6661,4.6807
0,0.10651,9.2197,2.6788,4.6773
0,0.09446,9.1809,2.6913,4.674
0,0.083235,9.1418,2.7039,4.6708
0,0.072922,9.1032,2.7164,4.6677
0,0.0634,9.0645,2.7289,4.6647
0,0.05483,9.0261,2.7414,4.662
0,0.047239,8.9876,2.7539,4.6593
0,0.040367,8.9489,2.7666,4.6567
0,0.034405,8.9101,2.7794,4.6543
0,0.029563,8.8712,2.7924,4.6522
0,0.026111,8.8323,2.8053,4.6501
0,0.024064,8.7935,2.8184,4.6482
0,0.023503,8.7544,2.8316,4.6465
0,0.024355,8.7152,2.8449,4.6449
0,0.026181,8.6764,2.8581,4.6434
0,0.028743,8.6374,2.8715,4.6421
0,0.031748,8.5986,2.8849,4.6409
0,0.035004,8.5595,2.8984,4.6399
0,0.03837,8.5209,2.9118,4.6392
0,0.041772,8.4822,2.9253,4.6385
0,0.045095,8.4431,2.9391,4.6378
0,0.048419,8.404,2.9529,4.6375
0,0.051751,8.3646,2.9669,4.6372
0,0.054967,8.325,2.981,4.6371
0,0.057921,8.2855,2.9952,4.637
0,0.0608,8.2461,3.0093,4.6372
0,0.06356,8.2069,3.0235,4.6375
0,0.065968,8.1676,3.0377,4.6378
0,0.068189,8.1279,3.0522,4.6382
0,0.070154,8.0884,3.0666,4.6388
0,0.071748,8.0488,3.0811,4.6394
0,0.072879,8.0091,3.0956,4.6401
0,0.073664,7.9694,3.1102,4.6406
0,0.073995,7.9301,3.1247,4.6413
0,0.073486,7.8905,3.1394,4.6422
0,0.072438,7.8507,3.1543,4.643
0,0.070843,7.8113,3.169,4.644
0,0.068457,7.7718,3.1839,4.6452
0,0.065266,7.7329,3.1987,4.6465
0,0.061447,7.6937,3.2137,4.648
0,0.057053,7.6544,3.2288,4.6494
0,0.052059,7.6155,3.2438,4.651
0,0.046791,7.5766,3.259,4.6527
0,0.041407,7.5372,3.2743,4.6544
0,0.035965,7.4981,3.2896,4.6562
0,0.031051,7.4586,3.3051,4.6582
0,0.027058,7.4196,3.3204,4.6602
0,0.023038,7.3807,3.3358,4.6624
0,0.020124,7.3422,3.3511,4.6644
0,0.013916,7.3038,3.3663,4.6665
0,0.010766,7.2658,3.3814,4.6686
0,0.021579,7.2281,3.3964,4.6707
0,0.045755,7.1906,3.4113,4.673
0,0.048408,7.1533,3.4262,4.6753
0,0.015636,7.116,3.4412,4.6775
0,0.018407,7.0788,3.4561,4.6798
0,0.023943,7.0417,3.4711,4.6823
0,0.02906,7.0048,3.4861,4.6848
0,0.031838,6.9681,3.501,4.6874
0,0.026548,6.9313,3.516,4.6898
0,0.021465,6.8946,3.5309,4.6924
0,0.017297,6.8581,3.5457,4.6948
0,0.014387,6.8217,3.5604,4.6973
0,0.01458,6.7859,3.575,4.6998
0,0.014318,6.7503,3.5896,4.7023
0,0.014233,6.7142,3.6043,4.7048
0,0.014197,6.6783,3.6189,4.7072
0,0.026614,6.6419,3.6336,4.7095
0,0.017745,6.6058,3.6483,4.7118
0,0.0073111,6.5699,3.6629,4.7141
0,0.0067137,6.5342,3.6774,4.7165
0,0.0072635,6.498,3.692,4.7186
0,0.0074113,6.462,3.7064,4.7208
0,0.0073269,6.426,3.7209,4.7226
